"course_id","course_name","department_id"
"1","Introduction to Programming","CS"
"2","Database Management","CS"
"3","Mechanics of Materials","ME"
"4","Electromagnetic Fields","EE"
"5","Marketing Management","BA"
"6","Structural Engineering","CE"
"7","Einführung in die Programmierung","CS"
"8","Datenbankmanagement","CS"
"9","Mechanik der Werkstoffe","ME"
"10","Elektromagnetische Felder","EE"
"11","Marketingmanagement","BA"
"12","Datenstrukturen","CS"
"13","Thermodynamik","ME"
"14","Digitale Elektronik","EE"
"15","Betriebswirtschaftslehre","BA"
"16","Mathematik","MA"
"17","Künstliche Intelligenz","CS"
"18","Baustatik","CE"
"19","Finanzmanagement","BA"
"20","Maschinelles Lernen","CS"
"21","Elektrische Schaltungen","EE"
"22","Informatik","CS"
"23","Architektur","CE"
"24","Strömungsmechanik","ME"
"25","Kommunikation","BA"
"26","Regelungstechnik","EE"
